광고ID,매체ID,누적 전환 수,도메인,광고 종료일,목표 전환 수
11748,637,2363,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,638,1226,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,639,1364,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,640,1339,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,645,23,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,646,597,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,653,120,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,674,2046,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,675,1718,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,676,1372,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,677,1136,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,678,1072,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,682,1802,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,683,1850,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,684,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,685,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,687,1740,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,688,1753,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,700,2480,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,701,2366,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,702,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,711,9,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,725,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,756,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,757,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,758,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,760,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,761,129,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,766,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,772,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,774,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,778,1,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,790,8,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,792,4,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,794,1105,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,795,1154,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,796,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,797,0,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,798,601,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,799,407,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,800,471,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,801,666,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,802,579,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,805,1934,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,806,2558,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,807,1912,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,808,2872,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,813,362,유틸리티/툴,2031-01-01 00:00:00,제한없음
11802,22,326,유틸리티/툴,2031-01-01 00:00:00,제한없음
11802,28,2,유틸리티/툴,2031-01-01 00:00:00,제한없음
11802,30,13,유틸리티/툴,2031-01-01 00:00:00,제한없음
11802,54,95,유틸리티/툴,2031-01-01 00:00:00,제한없음
11802,213,14846,유틸리티/툴,2031-01-01 00:00:00,제한없음
11802,246,11,유틸리티/툴,2031-01-01 00:00:00,제한없음
11802,270,85,유틸리티/툴,2031-01-01 00:00:00,제한없음
11802,337,81,유틸리티/툴,2031-01-01 00:00:00,제한없음
